model = BaggingRegressor(n_estimators=q)
q c a smape
9 4 3 0.380179843256
9 4 4 0.420122218661
9 4 5 0.386644999241
9 4 6 0.409747516806
9 4 7 0.387997542301
9 4 8 0.363875409416
9 4 9 0.376701990568
9 5 1 0.354562427543
9 5 2 0.365605135282
9 5 3 0.347523969065
9 5 4 0.340283150464
9 5 5 0.347487333723
9 5 6 0.345446850017
9 5 7 0.346161800983
9 5 8 0.345042575163
9 5 9 0.346698800113
9 6 1 0.349565229635
9 6 2 0.339230945424
9 6 3 0.33342667661
9 6 4 0.332090755169
9 6 5 0.327711109975
9 6 6 0.32798229738
9 6 7 0.324938755628
9 6 8 0.322722737794
9 6 9 0.326577226525
9 7 1 0.33833017852
9 7 2 0.335710926917
9 7 3 0.332191947991
9 7 4 0.321281159835
9 7 5 0.324637735152
9 7 6 0.322654590684
9 7 7 0.329402871773
9 7 8 0.320722218206
9 7 9 0.322200990433
9 8 1 0.346062098844
9 8 2 0.341003110478
9 8 3 0.324064090324
9 8 4 0.335541685704
9 8 5 0.331318982207
9 8 6 0.320040432183
9 8 7 0.336621986693
9 8 8 0.321512114916
9 8 9 0.322481925268
9 9 1 0.331961997831
9 9 2 0.323018081277
9 9 3 0.31820980452
9 9 4 0.326976913303
9 9 5 0.317005680224
9 9 6 0.320173620413
9 9 7 0.31421919576
9 9 8 0.317168957941
9 9 9 0.314223547312
10 1 1 0.451805787878
10 1 2 0.484541617493
10 1 3 0.440772308968
10 1 4 0.477107533055
10 1 5 0.466352298916
10 1 6 0.538540726841
10 1 7 0.496189741713
10 1 8 0.510268667851
10 1 9 0.532240299868
10 2 1 0.422592086113
10 2 2 0.408613233092
10 2 3 0.400004425848
10 2 4 0.400290474048
10 2 5 0.460035519194
10 2 6 0.459597682412
10 2 7 0.437382647478
10 2 8 0.441914946587
10 2 9 0.42623185153
10 3 1 0.394665518742
10 3 2 0.386470149472
10 3 3 0.416615845141
10 3 4 0.401121415573
10 3 5 0.416646341709
10 3 6 0.388697545806
10 3 7 0.430056262922
10 3 8 0.415255782631
10 3 9 0.419230619602
10 4 1 0.378516219056
10 4 2 0.390387146811
10 4 3 0.385992339788
10 4 4 0.371406882286
10 4 5 0.369342483124
10 4 6 0.389352542392
10 4 7 0.367839404511
10 4 8 0.391223686317
10 4 9 0.36821319224
10 5 1 0.35137584273
10 5 2 0.346660220749
10 5 3 0.362573058945
10 5 4 0.344750845757
10 5 5 0.341637888204
10 5 6 0.340668463808
10 5 7 0.349171793373
10 5 8 0.342419997932
10 5 9 0.35314148088
10 6 1 0.345527554401
10 6 2 0.337317144094
10 6 3 0.344347763378
10 6 4 0.325872602083
10 6 5 0.321853954818
10 6 6 0.326279586047
10 6 7 0.323409815295
10 6 8 0.322785582591
10 6 9 0.326140979542
10 7 1 0.334363685768
10 7 2 0.327349365848
10 7 3 0.331095794422
10 7 4 0.326778570147
10 7 5 0.325051610782
10 7 6 0.321253159274
10 7 7 0.323833291149
10 7 8 0.321190497712
10 7 9 0.322635746632
10 8 1 0.339894627113
10 8 2 0.346173199481
10 8 3 0.332857271674
10 8 4 0.334499508371
10 8 5 0.322092575931
10 8 6 0.318800784875
10 8 7 0.323810733972
10 8 8 0.32701134597
10 8 9 0.32450013497
10 9 1 0.352899866937
10 9 2 0.331983466892
10 9 3 0.33061326871
10 9 4 0.324460800725
10 9 5 0.320848562273
10 9 6 0.317143282694
10 9 7 0.324317853818
10 9 8 0.325462437685
10 9 9 0.3214131206
11 1 1 0.403612589939
11 1 2 0.457546137504
11 1 3 0.468938495324
11 1 4 0.508815767577
11 1 5 0.500092360712
11 1 6 0.527573425798
11 1 7 0.531399462272
11 1 8 0.583923068569
11 1 9 0.521209615004
11 2 1 0.418964954675
11 2 2 0.414107178273
